                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5263,                 1.4504,                 1.0681,                0.48461,                0.27637,                0.26704,                0.14432,                    nan,                    nan,                    nan,              0.0033326,              0.0033326,              0.0033326
                      2,                  1.472,                 1.0975,                 1.0394,                0.51106,                0.30395,                0.29499,                 0.1588,                    nan,                    nan,                    nan,              0.0065779,              0.0065779,              0.0065779
                      3,                 1.4799,                  1.041,                 1.0417,                0.43023,                0.31167,                0.31437,                 0.1695,                    nan,                    nan,                    nan,              0.0097353,              0.0097353,              0.0097353
                      4,                 1.4636,                0.99783,                 1.0388,                0.48714,                 0.3205,                0.33783,                0.18274,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      5,                 1.4323,                0.95384,                 1.0266,                0.48362,                0.34496,                0.36051,                0.19449,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      6,                 1.4131,                 0.9273,                 1.0187,                0.48961,                0.35702,                0.37438,                0.20449,                    nan,                    nan,                    nan,               0.009472,               0.009472,               0.009472
                      7,                 1.3973,                0.90974,                 1.0127,                0.50301,                0.36437,                0.38469,                 0.2085,                    nan,                    nan,                    nan,                0.00934,                0.00934,                0.00934
                      8,                 1.3886,                0.89735,                  1.009,                0.52704,                0.36416,                0.39209,                0.21345,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                      9,                  1.379,                0.88731,                 1.0054,                0.61377,                0.36894,                0.39652,                0.21676,                    nan,                    nan,                    nan,               0.009076,               0.009076,               0.009076
                     10,                 1.3771,                0.88183,                 1.0035,                0.62669,                0.37167,                0.40016,                0.21921,                    nan,                    nan,                    nan,               0.008944,               0.008944,               0.008944
                     11,                 1.3677,                0.87325,                 1.0002,                0.51807,                0.37487,                0.40281,                0.22133,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     12,                 1.3667,                0.86942,                0.99951,                0.52076,                0.37767,                0.40462,                0.22253,                    nan,                    nan,                    nan,                0.00868,                0.00868,                0.00868
                     13,                  1.361,                0.86476,                 0.9984,                0.62876,                 0.3769,                0.40698,                0.22451,                    nan,                    nan,                    nan,               0.008548,               0.008548,               0.008548
